keyword,occurence
Data,46
Structures,4
Logic,3
Random,1
Databases,3
source,4
software,14
applications,70
enterprises,1
Social,13
Sensing,2
Revolution,1
Challenges,2
Opportunities,2
Deep,7
Learning,18
Image,5
Classification,4
Retrieval,3
Analysis,32
Solutions,6
Current,1
Limitations,1
biosensing,1
system,29
chip,3
assessment,14
methods,34
interventions,2
children,7
dystonia,1
Robust,1
harmonic,2
control,70
disturbance,1
rejection,1
ontology,2
narratives,1
characterization,13
modeling,14
switching,6
materials,2
Study,7
computer,2
vision,1
algorithms,16
surgeon,1
capabilities,1
surgery,5
Time,3
instrumentation,12
Single-Photon,3
Counting,5
frequency-modulation,1
low-offset-drift,1
range,4
mems,1
accelerometers,2
Semantics,2
Contexts,1
extraction,3
data,62
application,17
image,5
processing,19
GDPR,1
Compliance,1
Through,1
Access,7
Control,16
Systems,36
accuracy,2
Natural,2
Language,6
Dependency,1
Parsing,1
Model,9
verification,13
adaptation,6
systems,85
runtime,2
methodology,9
energy,23
efficiency,8
Cartography,1
atlases,1
maps,1
approaches,9
Online,4
power,8
monitoring,18
optimization,19
platforms,7
Investigation,1
mechanisms,7
reliability,10
Flash,5
memories,6
stream,2
reasoning,1
Tumor,1
particle,4
therapy,8
development,15
testing,1
spaces,4
Algorithms,17
design,39
intelligent,1
context,5
mobility,3
services,8
Speech,1
analysis,54
prosody,1
recognition,3
Modeling,10
Simulation,3
Biological,4
Delays,1
exploitation,2
uncertainty,3
Bellman,1
updates,1
exploration,4
Reinforcement,2
Fast,3
resource,9
BaseBand,1
unit,2
architectures,21
next-generation,1
access,8
aggregation,2
networks,56
Web,9
Service,5
Discovery,7
fault,1
detection,18
diagnosis,4
sensor,6
paradigm,1
digital,3
twins,1
manufacturing,4
approach,29
QoS-aware,1
service,5
Exposure,1
fields,4
newborns,3
fetuses,1
RFID,2
devices,22
registration,4
strategy,2
brain,6
images,5
fusion,4
Asymmetry,1
cardiac,1
baroreflex,2
subjects,2
sclerosis,3
patients,6
repository,1
metadata,2
models,23
datasets,2
multivariate,1
transformations,2
tissue,1
classification,4
towards,4
science,2
Techniques,11
Visual,2
rationality,1
tradeoff,1
dynamics,12
water,8
management,40
center,1
self,2
multimedia,4
Security,10
Software,7
Services,4
Ad,2
Hoc,2
Approach,6
Segregation,1
mining,4
Collections,1
Textual,2
Radio-relaying,1
fiber,1
cloud,4
radio,7
Multidimensional,1
Network,7
Design,21
implementation,3
microwave,2
material,2
mehtods,1
parameters,5
use,7
contactless,1
technology,4
Methodologies,3
formalisms,1
problems,3
Adequacy,1
Issues,1
Reactive,1
Barbed,1
Mobile,10
Ambients,1
Search,6
Engine,1
Architecture,3
Collection,2
Selection,2
Knowledge,5
Mobility,5
Integration,3
Synchronization,2
performance,22
evaluation,9
wireless,12
transmission,4
techniques,28
incompleteness,1
automata,1
model,22
checking,3
Management,7
reservoirs,1
climate,2
change,7
impact,3
strategies,8
Information,12
Extraction,3
Text,5
Wikipedia,1
machine,12
translation,1
dependency,1
grammars,1
learning,23
method,1
pivot,1
shift,1
test,3
quantification,2
Cloud,4
Computing,16
Intrusion,1
Detection,5
System,10
Industrial,2
Internet,14
Things,4
improvements,1
Resource,9
allocation,2
functionalities,1
phase,9
MEMS,10
magnetometers,1
specifications,2
prototype,2
state,6
art,1
Energy,14
Efficient,5
BitTorrent,1
Green,1
P2P,3
File,1
Sharing,2
life,3
stage,2
infancy,1
Modularity,1
Abstract,2
State,1
Machines,1
Graphs,5
representations,2
cameras,4
Discrimination,1
tissues,1
impedance,3
spectroscopy,8
tomography,2
uncertainties,1
Gesture,1
Interfaces,1
properties,3
FSCL,1
programming,5
execution,2
Computational,5
predictions,1
understanding,3
interactions,4
Content-Aware,1
Quad,1
Meshing,1
localization,5
communication,8
Self-management,1
infrastructures,3
Graph,3
Processing,6
Applications,15
Characterization,10
disinformation,1
theory,9
Joint,2
antenna,1
pattern,2
coding,1
modulation,1
communications,8
frequency,13
bands,1
Advancements,1
multi-view,1
reconstruction,4
visualization,4
motion,2
lung,5
lesions,1
CT,1
Machine-learning,1
networking,3
metro-core,1
reference,1
support,9
minimization,2
flicker,1
noise,4
up-conversion,1
oscillators,1
middleware,3
interaction,12
things,1
Game,1
sharing,3
concurrency,1
paradigms,3
environment,3
circuit,1
memory,11
synpases,1
accelerators,3
Video,4
Transcoding,1
Usage,3
Everything,1
EvReact,1
photon,10
CMOS,6
circuits,12
Processes,2
Environments,9
Optimization,10
framework,14
edge,1
home,3
care,1
environments,8
standards,3
AI,2
vehicles,18
Assessment,3
activity,4
respiratory,3
Rank,1
joins,1
web,7
sources,2
Predictive,2
Multimodal,3
resonance,4
imaging,15
T,1
challenges,3
field,2
Media,7
Secure,4
Societies,1
Offline,1
Threats,1
Edge,2
Strategies,4
Human-enabled,1
Architectures,6
Hardware,1
neurocomputing,1
Electronics,1
boosts,1
Photonics,1
detector,6
Silicon,5
Photonic,1
Developments,2
